Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
216,17.467,120.82,10.5,0.19,-,2497.10,8.82,16.84798999,9
217,9.55,125.49,3.5,0.57,-,3627.40,2.26,8.150911972,3
218,7.55,126.17,10,0.20,-,3421.20,12.24,14.06654042,5
219,16.321,121.29,23.2,0.09,-,2305.80,0.97,12.60710168,10
220,14.974,120.2,2.7,0.74,-,2839.90,0.71,2.296187103,6
221,16.858,120.78,1.35,1.48,0.59,2497.10,28.20,20.62456221,9
222,16.792,120.8,3.5,0.57,-,2497.10,28.36,19.9183367,9
223,9.75,122.57,17.5,0.11,-,2220.20,10.87,8.492406501,4
224,16.367,120.6,2.1,0.95,-,2295.00,26.76,19.48099392,10
225,7.1667,125.99,10,0.20,0.04,2343.50,31.19,22.68159001,5
226,9.2583,125.52,3.5,0.57,-,3627.40,15.89,7.055532625,4
227,7.35,126.02,10,0.20,0.04,2343.50,20.14,19.17183384,5
228,13.45,122.08,20.5,0.10,-,2409.30,4.08,4.119105697,3
229,16.75,121.35,25,0.08,-,2552.60,14.72,7.832323661,9
230,14.233,122.73,20.5,0.10,-,3404.70,1.14,6.279329053,3
231,15.008,120.37,2.1,0.95,-,2625.10,17.96,20.00707722,7
232,6.5667,124.4,19.5,0.10,-,1991.40,4.03,10.78373318,3
233,16.383,120.98,20.6,0.10,-,2305.80,15.73,17.1704399,10
234,16.49,120.66,9.5,0.21,-,2295.00,13.62,19.30825348,10
235,16.263,120.62,1.5,1.33,-,2295.00,17.35,24.38721924,10
236,9.8167,122.45,30,0.07,-,2400.70,18.09,10.08250906,4
237,11.817,125.25,10,0.20,-,3369.60,5.59,10.74846167,1
238,6.475,125.05,3.5,0.57,-,1639.90,10.21,16.31512227,4
239,16.45,120.87,4.55,0.44,-,2305.80,18.04,22.99890095,10
240,13.8,121.13,7.3,0.27,-,2027.00,1.14,2.682572613,4
241,18.25,-66.417,41,0.05,-,1600.00,4.75,15.6847523,1
242,18.25,-66.817,42,0.05,0.04,1580.80,6.81,10.58901351,1
243,45.983,23.033,10,0.20,-,731.96,11.09,15.38369013,9
244,46.233,23.2,14.9,0.13,-,731.96,14.19,16.41556454,7
245,45.877,22.888,13.3,0.15,-,731.96,12.24,7.077999081,10
246,46.15,22.8,13.3,0.15,-,731.96,12.82,9.18549901,9
247,46.333,23.167,9.2,0.22,-,731.96,18.35,14.39068826,7
248,46.167,22.9,14.9,0.13,-,731.96,17.08,14.86196766,9
249,46.267,22.15,8.2,0.24,-,641.40,7.84,12.43956486,9
250,46.15,22.85,11.4,0.18,-,731.96,4.48,12.58863317,9
251,46.061,22.967,11,0.18,-,731.96,6.56,14.00758406,9
252,53.917,157.38,14.9,0.13,-,905.08,22.80,22.60398426,1
253,54.283,157.67,14.9,0.13,-,894.72,10.21,21.15633638,1
254,43.233,20.717,14,0.14,-,982.76,16.03,15.64733397,3
255,48.438,18.862,14.5,0.14,-,825.76,10.97,13.16653247,2
256,-9.3667,159.73,2.6,0.77,-,2473.00,14.07,16.32077034,2
257,-9.7833,160.03,2,1.00,-,2642.10,12.20,23.28289347,2
258,-8.0833,157.52,3.55,0.56,-,3390.30,11.24,12.57622233,1
259,-9.5333,159.91,31.3,0.06,-,2473.00,20.27,16.40463648,2
260,-9.4333,159.83,24.4,0.08,-,2473.00,21.85,13.21172616,2
261,23.433,121.45,21.5,0.09,-,2569.00,33.84,21.85857357,1
262,40.926,35.44,38,0.05,-,538.52,11.61,14.70266696,1
263,41.2,41.9,40,0.05,-,847.80,21.94,28.00310019,2
264,41.175,41.853,52.5,0.04,-,847.80,34.15,27.25958786,2
265,40.857,39.653,59,0.03,-,798.56,29.27,23.30755912,2
266,39.6,27.15,25,0.08,0.30,734.76,3.03,8.884986635,1
267,40.45,40.883,59,0.03,-,586.12,7.66,21.71690743,2
268,56.517,-158.4,3.6,0.56,-,575.92,9.79,21.76693666,1
269,60.353,-154.31,59.5,0.03,-,542.20,0.00,0,1
270,59.019,-137.08,34,0.06,-,1756.60,37.93,20.56449767,1
271,55.625,-160.67,6.4,0.31,-,768.04,27.54,20.61624112,1
272,32.357,-112.87,63,0.03,-,200.80,8.01,5.375818826,8
273,33.4,-110.95,59,0.03,-,504.60,10.10,12.3383181,17
274,33.06,-110.75,63.5,0.03,-,419.64,14.67,12.94355094,17
275,34.499,-112.58,64,0.03,-,396.36,3.87,10.9516178,7
276,32.75,-110.48,58,0.03,-,419.64,18.25,15.27447319,18
277,31.869,-111.12,55,0.04,-,367.92,9.83,6.369753124,18
278,33.333,-110.94,61,0.03,-,395.12,2.74,11.99843335,17
279,31.83,-110.76,59,0.03,-,407.76,5.64,11.20819025,19
280,32.099,-110.06,53,0.04,-,407.76,10.05,5.653679908,19
281,33.342,-110.9,61,0.03,-,504.60,16.11,12.80163497,17
282,33.42,-110.74,63.5,0.03,-,490.40,3.71,6.456395725,16
283,31.983,-111.07,58,0.03,-,367.92,25.40,7.860284482,18
284,33.104,-109.36,56,0.04,-,380.32,6.63,17.23053444,12
285,33.117,-111.42,62,0.03,-,395.12,0.72,0.792221073,18
286,31.49,-110.72,60,0.03,-,497.20,17.98,13.19298421,17
287,33.3,-111.08,63.5,0.03,-,395.12,22.89,11.88676736,17
288,32.955,-111.82,63,0.03,-,228.80,15.56,2.124415321,16
289,32.933,-109.6,52.5,0.04,-,380.32,25.84,11.35789686,16
290,31.967,-111.02,56,0.04,-,367.92,0.48,2.533687757,18
291,33.378,-111,60,0.03,-,504.60,9.55,13.48443762,17
292,31.893,-111.04,58,0.03,-,367.92,30.55,4.640458641,18
